# List created using the lists from:
# http://www.ncbi.nlm.nih.gov/books/NBK3827/table/pubmedhelp.pubmedhelptable45/
Brevia	Brevia. (Rome).
Organic geochemistry	Org. Geochem.
Organic syntheses; an annual publication of satisfactory methods for the preparation of organic chemicals	Organic Synth.
Organizational ethics : healthcare, business, and policy : OE	Organ. Ethic.
Organogenesis	Organogenesis
Organometallics	Organometallics
Organon	Organon
Organon F	Organon F (Bratisl).
Oriens extremus	Oriens Extremus
Oriental insects	Orient. Insects
Oriente Cristiano	Oriente Crist.
Origins	Origins
Origins of life	Orig. Life
Origins of life and evolution of the biosphere : the journal of the International Society for the Study of the Origin of Life	Orig. Life Evol. Biosph.
Orizzonti della ortopedia odierna e della riabilitazione	Orizz. Ortop. Odie. Riabil.
Ornicar?	Ornicar.
Orovosok lapja (Magyar Orvosok Szabad Szakszervezete)	Orvosok Lapja Nepeu.
Orphanet journal of rare diseases	Orphanet J. Rare Dis.
Orthodontic waves (English ed.)	Orthod. Waves
Orthodontics & craniofacial research	Orthod. Craniofac. Res.
Orthodontics : the art and practice of dentofacial enhancement	Orthodontics (Chic.).
Orthodontike epitheorese : epiotemoniko periodiko tes Orthodontikes Etaireias tes Ellados / OEE	Orthod. Epitheorese
Orthopaedic audio-synopsis continuing medical education	Orthop. Audiosynop. Contin. Med. Educ.
Orthopaedic nursing / National Association of Orthopaedic Nurses	Orthop. Nurs.
Orthopaedics & traumatology, surgery & research : OTSR	Orthop. Traumatol. Surg. Res.
Orthopaedics and trauma	Orthop. Trauma
Orthopedic nursing / National Association of Orthopedic Nurses	Orthop. Nurs.
Orthopedic reviews	Orthop. Rev. (Pavia).
Orthopedics	Orthopedics
Ortodoncia	Ortodoncia
Ortodontia	Ortodontia
Ortopedia e traumatologia dell'apparato motore	Ortop. Traumatol. Appar. Mot.
Ortopedia maxilar	Ortop. Maxilar
Ortopediia travmatologiia i protezirovanie	Ortop. Travmatol. Protez.
Orvosi hetilap	Orv. Hetil.
Orvoskepzes	Orvoskepzes
Orvostorteneti kozlemenyek	Orvostort. Kozl.
Os urbanitas	Urbanitas
Osaka University law review	Osaka Univ. Law Rev.
Osaka city medical journal	Osaka City Med. J.
Osgoode Hall law journal	Osgoode Hall Law J.
Osiris	Osiris
Ospedali d'Italia - chirurgia	Osp. Ital. Chir.
Osteoarthritis and cartilage / OARS, Osteoarthritis Research Society	Osteoarthritis Cartilage
Osteopathic medicine and primary care	Osteopath. Med. Prim. Care
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA	Osteoporos. Int.
Osterreich in Geschichte und Literatur mit Geographie	Osterr. Gesch. Lit. Geogr.
Osterreichische Arztezeitung	Osterr. Arzteztg.
Osterreichische Dental-Revue	Osterr. Dent. Rev.
Osterreichische Hebammenzeitung	Osterr. Hebammenztg.
Osterreichische Krankenpflegezeitschrift	Osterr. Krankenpflegez.
Osterreichische Militarische Zeitschrift	Osterr. Mil. Z.
Osterreichische Pflegezeitschrift : Organ des Osterreichischen Gesundheits- und Krankenpflegeverbands	Osterr. Pflegezeitschrift
Osterreichische Schwesternzeitung	Osterr. Schwesternztg.
Osterreichische Zahnarzts-Zeitung; Mitteilungen der Bundesfachgruppe fur Zahnheilkunde der Osterreichischen Arztekammer	Osterr. Zahnarzteztg.
Osterreichische Zahnprothetik	Osterr. Zahnprothet.
Osterreichische Zeitschrift fur Erforschung und Bekampfung der Krebskrankheit	Osterr. Z. Erforsch. Bekampf. Krebskr.
Osterreichische Zeitschrift fur Geschichtswissenschaften : OZG	Osterr. Z. Geschwiss.
Osterreichische Zeitschrift fur Kinderheilkunde und Kinderfursorge	Osterr. Z. Kinderheilkd. Kinderfuersorge.
Osterreichische Zeitschrift fur Onkologie. Austrian journal of oncology	Osterr. Z. Onkol.
Osterreichische Zeitschrift fur Pilzkunde	Osterr. Z. Pilzkd.
Osterreichische Zeitschrift fur Statistik und Informatik	Osterr. Z. Stat. Inform.
Osterreichische Zeitschrift fur Stomatologie	Osterr. Z. Stomatol.
Osteuropa	Osteuropa
Ostomy/wound management	Ostomy. Wound. Manage.
Otago law review	Otago Law Rev.
Otechestvennaia istoriia / Rossiiskaia akademiia nauk, Institut rossiiskoi istorii	Otechestvennaia Istor.
Otechestvennye arkhivy	Otecestv. Arh.
Oto-rhino-laryngologia Danubiana	Otorhinolaryngol. Danub.
Oto-rino-laringologie	Otorinolaringologie.
Otolaryngologia polska. The Polish otolaryngology	Otolaryngol. Pol.
Otolaryngology	Otolaryngology
Otolaryngology and head and neck surgery	Otolaryngol. Head Neck Surg. (1979).
Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery	Otolaryngol. Head. Neck Surg.
Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology	Otol. Neurotol.
Ottawa law review	Ottawa Law Rev.
Ou Daigaku shigakushi	Ou Daigaku Shigakushi
Oudheidkundige mededeelingen van het Rijksmuseum van Oudheden te Leiden = Nuntii ex Museo Antiquario Leidensi	Oudheidkd. Meded. Rijksmus. Oudheiden. Leiden
Ouest-medical	Ouest. Med.
Our planet : the magazine of the United Nations Environment Programme	Our Planet
Outbreak, surveillance and investigation reports	Outbreak. Surveill. Investig. Rep.
Outlook and bulletin. Southern Dental Society of New Jersey	Outlook Bull. South. Dent. Soc. N. J.
Outlook for the blind and the teachers forum	Outlook Blind Teach. Forum
Overijssel (Enschede, Netherlands)	Overijssel
Oxford German studies	Oxf. Ger. Stud.
Oxford Medical School gazette	Oxf. Med. Sch. Gaz.
Oxford Slavonic papers	Oxf. Slav. Pap.
Oxford bulletin of economics and statistics	Oxf. Bull. Econ. Stat.
Oxford economic papers	Oxf. Econ. Pap.
Oxford journal of legal studies	Oxf. J. Leg. Stud.
Oxford reviews of reproductive biology	Oxf. Rev. Reprod. Biol.
Oxford studies in ancient philosophy	Oxf. Stud. Anc. Philos.
Oxford surveys on eukaryotic genes	Oxf. Surv. Eukaryot. Genes
Oxidants and antioxidants in medical science	Oxid. Antioxid. Med. Sci.
Oxidative medicine and cellular longevity	Oxid. Med. Cell. Longev.
P & T : a peer-reviewed journal for formulary management	P T
PAG bulletin	Pag Bull.
PAS reporter	PAS Rep.
PCR methods and applications	PCR Methods Appl.
PDA journal of pharmaceutical science and technology / PDA	PDA J. Pharm. Sci. Technol.
PDM: Physicians' drug manual	PDM.
PHC4 FYI / Pennsylvania Health Care Cost Containment Council	PHC4 FYI
PIACT papers / Program for the Introduction and Adaptation of Contraceptive Technology	PIACT Pap.
PIACT product news. Program for the Introduction and Adaptation of Contraceptive Technology (U.S.)	PIACT Prod. News.
PLoS clinical trials	PLoS Clin. Trials
PLoS neglected tropical diseases	PLoS Negl. Trop. Dis.
PM & R : the journal of injury, function, and rehabilitation	PM R
POPCEN news letter. Population Centre (Lucknow, India)	POPCEN Newsl.
POPIN bulletin / International Population Information Network	POPIN Bull.
PP news	PP News
PRN forum	PRN Forum
PS	PS (Wash. DC).
PS, political science & politics	PS. Polit. Sci. Polit.
PZ Wissenschaft : Pharmazeutische Zeitung, Wissenschaftsausgabe	PZ Wiss.
Pace law review	Pace Law Rev.
Pacific AIDS alert bulletin / South Pacific Commission	Pac. AIDS Alert Bull.
Pacific Northwest quarterly	Pac. Northwest Q.
Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing	Pac. Symp. Biocomput.
Pacific affairs	Pac. Aff.
Pacific health dialog	Pac. Health Dialog
Pacific historical review	Pac. Hist. Rev.
Pacific law journal (Sacramento, Calif.)	Pac. Law J.
Pacific medicine and surgery	Pac. Med. Surg.
Pacific reporter. Second series	Pac. Rep. Second Ser.
Pacific sociological review	Pac. Sociol. Rev.
Pacific studies	Pac. Stud.
Pacific viewpoint	Pac. Viewp.
Pacifica : journal of the Melbourne College of Divinity	Pacifica
Pacing and clinical electrophysiology : PACE	Pacing Clin. Electrophysiol.
Pada (Han'guk Haeyang Hakhoe)	Pada
Padiatrie und Grenzgebiete	Padiatr. Grenzgeb.
Padiatrie und Padologie	Padiatr. Padol.
Padiatrie und Padologie. Supplementum	Padiatr. Padol. Suppl.
Paediatria Danubiana ...	Paediatr. Danub.
Paediatric and perinatal drug therapy	Paediatr. Perinat. Drug Ther.
Paediatric drugs	Paediatr. Drugs
Paediatrician	Paediatrician
Paediatrics & child health	Paediatr. Child Health
Paediatrics and child health	Paediatr. Child Health (Oxford).
Paediatrics and international child health	Paediatr. Int. Child Health
Paediatriki	Paidiatrike.
Paedovita	Paedovita
Page's Ohio revised code annotated : containing the text of the official Ohio revised code, effective October 1, 1953, with the addition of all statutes of a general nature enacted by the General Assembly ... and notes of decisions cons...	Pages. Ohio Revis. Code Annot. Ohio
Pagine di storia della medicina. Collana	Pagine Stor. Med. Collana
Paideuma	Paideuma (Wiesb).
Pain	Pain
Pain and headache	Pain Headache
Pain management nursing : official journal of the American Society of Pain Management Nurses	Pain Manag. Nurs.
Pain medicine (Malden, Mass.)	Pain Med.
Pain physician	Pain Physician
Pain practice : the official journal of World Institute of Pain	Pain Pract.
Pain research & management : the journal of the Canadian Pain Society = journal de la societe canadienne pour le traitement de la douleur	Pain Res. Manag.
Pakistan development review	Pak. Dev. Rev.
Pakistan economic and social review	Pak. Econ. Soc. Rev.
Pakistan journal of biological sciences: PJBS	Pak. J. Biol. Sci.
Pakistan journal of family planning	Pak. J. Fam. Plann.
Pakistan journal of health	Pak. J. Health
Pakistan journal of medical research	Pak. J. Med. Res.
Pakistan journal of medical sciences quarterly	Pak. J. Med. Sci. Q.
Pakistan journal of pharmaceutical sciences	Pak. J. Pharm. Sci.
Pakistan journal of psychology	Pak. J. Psychol.
Pakistan journal of science	Pak. J. Sci.
Pakistan journal of scientific and industrial research	Pak. J. Sci. Ind. Res.
Pakistan journal of zoology	Pak. J. Zool.
Pakistan pediatric journal	Pak. Pediatr. J.
Pakistan population review	Pak. Popul. Rev.
Pakistan veterinary journal	Pak. Vet. J.
Palaeontology	Palaeontology
Palaios	Palaios
Paleobiology	Paleobiology
Paleoceanography	Paleoceanography
Palliative & supportive care	Palliat. Support. Care
Pammatone	Pammatone
Pan American health	Pan Am. Health
Pan American medical woman's journal	Pan Am. Med. Womans. J.
Pan-African journal	Pan. Afr. J.
Pan-American journal of aquatic sciences	Panam. J. Aquat. Sci.
Pancreas	Pancreas
Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.]	Pancreatology
Panhandle-Plains historical review	Panhand-Plains. Hist. Rev.
Panminerva medica	Panminerva Med.
Panoscope	Panoscope
Panstwo i prawo : organ Zrzeszenia Prawnikow Demokratow w Polsce	Panstwo Prawo
Papeis avulsos de zoologia	Pap. Avulsos Zool.
Papeles de poblacion / Centro de Investigacion y Estudios Avanzados de la Poblacion, Universidad Autonoma del Estado de Mexico	Papeles Poblac.
Paper series (United Hospital Fund of New York)	Pap. Ser. United. Hosp. Fund N. Y.
Papers / National Conference for Professional Nurses and Physicians	Pap. Natl. Conf. Prof. Nurses Physicians
Papers / Regional Science Association. Regional Science Association. Meeting	Pap. Reg. Sci. Assoc.
Papers in regional science : the journal of the Regional Science Association International	Pap. Reg. Sci.
Papers of the Bibliographical Society of Canada. Cahiers de la Societe bibliographique du Canada. Bibliographical Society of Canada	Pap. Bibliogr. Soc. Can.
Papers on French seventeenth century literature	Pap. Fr. Seventeenth Century Lit.
Papers presented at the ... annual convention. American Hospital Association	Pap. Present. Annu. Conv. Am. Hosp. Assoc.
Papers presented at the ... meeting. American Chemical Society. Division of Polymer Chemistry	Polymer Prepr.
Papua and New Guinea medical journal	P. N. G. Med. J.
Paracelsus; Archiv der praktischen Medizin	Paracelsus. Arch. Prakt. Med.
Parade (New York, N.Y.)	Parade
Paradentologie	Paradentologie
Parameters : journal of the US Army War College	Parameters
Paraplegia	Paraplegia
Parasite (Paris, France)	Parasite
Parasites & vectors	Parasit. Vectors
Parasitology	Parasitology
Parasitology today (Personal ed.)	Parasitol. Today
Parassitologia	Parassitologia
Parazitologiia	Parazitologiia
Parenting, science and practice	Parent. Sci. Pract.
Parents magazine (New York, N.Y. : 1985)	Parents Mag. (NY).
Parents' magazine (Bergenfield, N.J.)	Parents. Mag.
Parivar ayojan	Parivar Ayojan
Parking	Parking
Parkinson's disease	Parkinsons. Dis.
Parkinsonism & related disorders	Parkinsonism Relat. Disord.
Parma medica	Parma Med.
Parodontologia e stomatologia (nuova) : organo ufficiale dell'ARPA italiana, della Societa italiana Jonoforesi stomatologica e della Accademia ligustica di stomatologia	Parodontol. Stomatol. (Nuova)
Parodontologie	Parodontologie
Parodontologie (Berlin, Germany)	Parodontol.
Parodontologie (Zurich, Switzerland : 1954)	Parodontologie
Parodontopathies	Parodontopathies
Paroi arterielle	Paroi Arterielle
Part A news : independent news to legally maximize Medicare part A dollars	Part A News
Part B news	Part B News
Participant journal	Part. J.
Particle and fibre toxicology	Part. Fibre Toxicol.
Partisan review (New York, N.Y. : 1936)	Partis. Rev.
Partner abuse	Partner Abuse
Parttorteneti kozlemenyek. Magyar Szocialista Munkaspart. Kozponti Bizottsag. Parttorteneti Intezet	Parttort. Kozl.
Passato e presente (Florence, Italy)	Passato Presente
Passauer Schriften zur Psychologiegeschichte / herausgegeben vom Institut fur Geschichte der Neueren Psychologie der Universitat Passau	Passau Schr. Psychologiegesch.
Past imperfect (Edmonton, Alta.)	Past Imperfect
Pastoral psychology	Pastoral Psychol.
PathoGenetics	Pathogenetics
Pathobiology : journal of immunopathology, molecular and cellular biology	Pathobiology
Pathobiology of aging & age related diseases	Pathobiol. Aging Age Relat. Dis.
Pathogenesis : the journal of mechanisms in disease processes	Pathogenesis (Amst).
Pathogens	Pathogens
Pathogens and global health	Pathog. Glob. Health
Pathologia et microbiologia	Pathol. Microbiol. (Basel).
Pathologica	Pathologica
Pathologie-biologie	Pathol. Biol. (Paris).
Pathologist	Pathologist
Pathology	Pathology
Pathology (Philadelphia, Pa.)	Pathology (Phila).
Pathology and laboratory medicine international : PLMI	Pathol. Lab. Med. Int.
Pathology oncology research : POR	Pathol. Oncol. Res.
Pathology research international	Patholog. Res. Int.
Pathophysiology : the official journal of the International Society for Pathophysiology / ISP	Pathophysiology
Pathways (Chestnut Hill, Mass.)	Pathways
Patient accounts	Patient Acc.
Patient care	Patient Care
Patient care management	Patient Care Manag.
Patient counselling and health education	Patient Couns. Health Educ.
Patient preference and adherence	Patient Prefer. Adherence
Patient related outcome measures	Patient Relat. Outcome Meas.
Patient-focused care : the health care executive's guide to organizational restructuring	Patient. Focus. Care
Patient-focused care and satisfaction / American Health Consultants	Patient. Focus. Care Satisf.
Patma-banasirakan handes / Haykakan SSR Gitut'yunneri Akademia = Istoriko-filologicheskii zhurnal / Akademiia nauk Armianskoi SSR	Patma. Banasirakan. Handes
Patologia	Patologia (Mex).
Patologia e clinica ostetrica e ginecologica	Patol. Clin. Ostet. Ginecol.
Patologicheskaia fiziologiia i eksperimental'naia terapiia	Patol. Fiziol. Eksp. Ter.
Pattern analysis and applications : PAA	Pattern Anal. Appl.
Patterns of prejudice	Patterns Prejudice
Pawlow-Zeitschrift fur hohere Nerventatigkeit. Deutsche Ausg	Pawlow. Z. Hohere Nerventatigkeit.
Peace and conflict : journal of peace psychology : the journal of the Division of Peace Psychology of the American Psychological Association	Peace Confl.
Pediatria	Pediatria (Santiago).
Pediatria de las Americas	Pediatr. Am.
Pediatric alert	Pediatr. Alert
Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology	Pediatr. Allergy Immunol.
Pediatric allergy, immunology, and pulmonology	Pediatr. Allergy. Immunol. Pulmonol.
Pediatric and adolescent gynecology : official journal of the International Federation of Infantile and Juvenile Gynecology	Pediatr. Adolesc. Gynecol.
Pediatric and developmental pathology : the official journal of the Society for Pediatric Pathology and the Paediatric Pathology Society	Pediatr. Dev. Pathol.
Pediatric asthma, allergy & immunology	Pediatr. Asthma. Allergy Immunol.
Pediatric blood & cancer	Pediatr. Blood Cancer
Pediatric case reviews (Print)	Pediatr. Case Rev.
Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies	Pediatr. Crit. Care Med.
Pediatric dermatology	Pediatr. Dermatol.
Pediatric diabetes	Pediatr. Diabetes
Pediatric emergency care	Pediatr. Emerg. Care
Pediatric endocrinology reviews : PER	Pediatr. Endocrinol. Rev.
Pediatric endocrinology, diabetes, and metabolism	Pediatr. Endocrinol. Diabetes. Metab.
Pediatric health	Ped. Health
Pediatric nephrology (Berlin, Germany)	Pediatr. Nephrol.
Pediatric news	Pediatr. News
Pediatric pathology & laboratory medicine : journal of the Society for Pediatric Pathology, affiliated with the International Paediatric Pathology Association	Pediatr. Pathol. Lab. Med.
Pediatric pathology / affiliated with the International Paediatric Pathology Association	Pediatr. Pathol.
Pediatric pharmacology (New York, N.Y.)	Pediatr. Pharmacol. (New York).
Pediatric physical therapy : the official publication of the Section on Pediatrics of the American Physical Therapy Association	Pediatr. Phys. Ther.
Pediatric pulmonology. Supplement	Pediatr. Pulmonol. Suppl.
Pediatric reports	Pediatr. Rep.
Pediatric rheumatology online journal	Pediatr. Rheumatol. Online J.
Pediatrician	Pediatrician
